185972.400022,-102.671117,137.922603,-20.254575,  35.6675777895, 139.7910657211,39.472825,11.270805,16
185972.600022,-102.670124,137.923217,-20.255671,  35.6675777951, 139.7910657321,39.471729,13.430199,16
185972.800022,-102.668948,137.918732,-20.255996,  35.6675777546, 139.7910657451,39.471404,7.934205,17
185973.000022,-102.668513,137.919884,-20.255713,  35.6675777650, 139.7910657499,39.471687,8.141937,17
185973.200021,-102.666897,137.921727,-20.258354,  35.6675777816, 139.7910657678,39.469046,9.049269,17
185973.400021,-102.669084,137.919574,-20.260673,  35.6675777622, 139.7910657436,39.466727,8.171276,17
185973.600021,-102.671089,137.920555,-20.254889,  35.6675777711, 139.7910657214,39.472511,6.959418,17
185973.800021,-102.669112,137.921396,-20.256171,  35.6675777787, 139.7910657433,39.471229,7.283631,17
185974.000021,-102.669539,137.920456,-20.250583,  35.6675777702, 139.7910657385,39.476817,5.963284,17
185974.200021,-102.667882,137.921108,-20.260378,  35.6675777761, 139.7910657569,39.467022,6.041586,17
185974.400021,-102.665912,137.922316,-20.257392,  35.6675777870, 139.7910657787,39.470008,4.518754,17
185974.600021,-102.669994,137.920091,-20.256062,  35.6675777669, 139.7910657335,39.471338,5.783186,17
185974.800021,-102.670457,137.922861,-20.257863,  35.6675777919, 139.7910657284,39.469537,7.589349,16
185975.000021,-102.670110,137.920992,-20.253782,  35.6675777750, 139.7910657322,39.473618,7.503425,16
185975.200021,-102.667952,137.923440,-20.257830,  35.6675777971, 139.7910657561,39.469570,6.145135,17
185975.400021,-102.669425,137.922082,-20.256274,  35.6675777848, 139.7910657398,39.471126,5.995458,16
185975.600021,-102.669015,137.922449,-20.260619,  35.6675777882, 139.7910657443,39.466781,5.938592,16
185975.800021,-102.669719,137.921472,-20.257732,  35.6675777793, 139.7910657366,39.469668,5.914949,16
185976.000021,-102.668292,137.921945,-20.257655,  35.6675777836, 139.7910657523,39.469745,4.433349,17
185976.200021,-102.668934,137.919101,-20.252659,  35.6675777580, 139.7910657452,39.474741,4.024917,17
185976.400021,-102.669987,137.921135,-20.253852,  35.6675777763, 139.7910657336,39.473548,5.361399,16
185976.600020,-102.669968,137.921923,-20.257014,  35.6675777834, 139.7910657338,39.470386,5.430715,16
